variant,seed,accuracy,macro_precision,macro_recall,macro_f1,weighted_precision,weighted_recall,weighted_f1,ece,brier_score,calibration_available
full,42,0.199740034662045,0.030129606530192,0.0771901016689046,0.0433416328691874,0.077948811559963,0.199740034662045,0.1121362111007563,0.0835094059844932,0.8985420761026758,True
without_actm,42,0.1893414211438475,0.0316242589302172,0.0782835219643199,0.0415827048707749,0.0817119809146472,0.1893414211438475,0.1052154970850232,0.0857058116936962,0.904193759211927,True
without_notes,42,0.1932409012131715,0.0293831171561426,0.0749963552656819,0.0422050937020379,0.0760851419338745,0.1932409012131715,0.1091368132295025,0.0770827405787423,0.8985230419383956,True
simple_concatenation,42,0.1967071057192374,0.0293771667769013,0.0755434490696336,0.0422861483027813,0.0761355350169364,0.1967071057192374,0.1097381549577544,0.0803480966717159,0.8985780095696434,True
without_uncertainty_utility,42,0.1993067590987868,0.0300713782937282,0.0770362555150585,0.0432571572492151,0.0777915538464708,0.1993067590987868,0.111905259323196,0.0830784722310418,0.8985432604012423,True
without_specificity_utility,42,0.1993067590987868,0.0300713782937282,0.0770362555150585,0.0432571572492151,0.0777915538464708,0.1993067590987868,0.111905259323196,0.0830761524953555,0.8985417506302616,True
without_utility_weighting,42,0.199740034662045,0.030129606530192,0.0771901016689046,0.0433416328691874,0.077948811559963,0.199740034662045,0.1121362111007563,0.0835120332600029,0.8985430386900868,True
full,52,0.1702772963604852,0.0251464883398686,0.0763281611092769,0.0373283108538521,0.0609322623001011,0.1702772963604852,0.0889351496408969,0.0792982378713076,0.9150368087913908,True
without_actm,52,0.1702772963604852,0.0250770422809064,0.0759755694948828,0.0372308923175829,0.0608917069847179,0.1702772963604852,0.0889339670704562,0.0792696648107864,0.9150215381551566,True
without_notes,52,0.1711438474870017,0.0252837883628618,0.0764595576097722,0.0374928163327368,0.0614565786176391,0.1711438474870017,0.0896156256323791,0.0801908427452349,0.915018524487276,True
simple_concatenation,52,0.1685441941074523,0.0246660879253022,0.0753601848794981,0.0367457609456486,0.0595542830345638,0.1685441941074523,0.0873276464694445,0.0775005794106054,0.915047291830502,True
without_uncertainty_utility,52,0.1702772963604852,0.0251464883398686,0.0763281611092769,0.0373283108538521,0.0609322623001011,0.1702772963604852,0.0889351496408969,0.0792977679908224,0.915036324019302,True
without_specificity_utility,52,0.1702772963604852,0.0251464883398686,0.0763281611092769,0.0373283108538521,0.0609322623001011,0.1702772963604852,0.0889351496408969,0.0792979883285081,0.9150364268960448,True
without_utility_weighting,52,0.1702772963604852,0.0251464883398686,0.0763281611092769,0.0373283108538521,0.0609322623001011,0.1702772963604852,0.0889351496408969,0.0792990775756292,0.9150368453764413,True
full,62,0.181109185441941,0.0441203722767329,0.0939711709736647,0.048879921110476,0.0797646408389293,0.181109185441941,0.0842842035643626,0.0914056851581849,0.915512172035014,True
without_actm,62,0.1815424610051993,0.0442830758428247,0.0941250171275109,0.0490835655193338,0.0802113730720645,0.1815424610051993,0.0848417760677566,0.0917371055191992,0.9154030659731291,True
without_notes,62,0.1832755632582322,0.0470915073627916,0.0987105313638979,0.051754240082344,0.0819361325150639,0.1832755632582322,0.0843110418566552,0.0936382466949767,0.9155473829995237,True
simple_concatenation,62,0.1837088388214904,0.0453043007362811,0.0939112109835301,0.0499847059007132,0.0826100271616349,0.1837088388214904,0.088184367059032,0.0939335478614996,0.9154850415574708,True
without_uncertainty_utility,62,0.181109185441941,0.0441203722767329,0.0939711709736647,0.048879921110476,0.0797646408389293,0.181109185441941,0.0842842035643626,0.0914062563284741,0.9155121296116728,True
without_specificity_utility,62,0.181109185441941,0.0441203722767329,0.0939711709736647,0.048879921110476,0.0797646408389293,0.181109185441941,0.0842842035643626,0.0914060542266331,0.9155120530573309,True
without_utility_weighting,62,0.181109185441941,0.0441203722767329,0.0939711709736647,0.048879921110476,0.0797646408389293,0.181109185441941,0.0842842035643626,0.0914043187320335,0.915512011108498,True
