method,seed,loss,accuracy,macro_precision,macro_recall,macro_f1,weighted_precision,weighted_recall,weighted_f1,ece,brier_score,calibration_available,zero_recall_classes,never_predicted_classes,active_prediction_classes
fedavg,42,standard,0.1876083188908145,0.030645449198346,0.0772123537310569,0.0412709236940888,0.0789464189421147,0.1876083188908145,0.1044228425637488,0.0830966901111592,0.9040282944993197,True,11,10,3
fedavg,42,class_weighted,0.151213171577123,0.0534183133144006,0.1073512216319484,0.0594668672714064,0.0852130390442445,0.151213171577123,0.0819673111954706,0.0583429255650299,0.9108704279959506,True,9,9,4
fedprox,42,standard,0.1880415944540727,0.0307457878970514,0.0774041818530596,0.0413666792977137,0.0792162247596182,0.1880415944540727,0.1046677082355083,0.0838552418211717,0.9040706915103628,True,11,10,3
fedprox,42,class_weighted,0.151213171577123,0.0555026921336533,0.1075986485904547,0.0600350963981675,0.0884432338020449,0.151213171577123,0.0818267766836361,0.0594109933874997,0.91253550098344,True,9,9,4
proposed,42,standard,0.199740034662045,0.030129606530192,0.0771901016689046,0.0433416328691874,0.077948811559963,0.199740034662045,0.1121362111007563,0.0835094059844932,0.8985420761026758,True,11,11,2
proposed,42,class_weighted,0.151213171577123,0.0495830715973397,0.1133963103752914,0.0571851301569066,0.0812559935808096,0.151213171577123,0.0780606191283686,0.0583729878281028,0.910757300859668,True,9,9,4
fedavg,52,standard,0.169844020797227,0.0248688173451062,0.0759980191482337,0.0370467114971654,0.0600223370833305,0.169844020797227,0.0880045446815053,0.0783098645321056,0.9149786339278668,True,11,11,2
fedavg,52,class_weighted,0.1096187175043327,0.1036917830123318,0.0921382772464654,0.0369889940029055,0.1311072995924302,0.1096187175043327,0.0390092018055285,0.0203166751504151,0.915429745223262,True,7,6,7
fedprox,52,standard,0.1681109185441941,0.0247136834690333,0.0753826345328491,0.0367677845866141,0.0596914699793481,0.1681109185441941,0.0873602219522625,0.0770530319632236,0.9150038483974544,True,11,11,2
fedprox,52,class_weighted,0.1126516464471403,0.1347489964732993,0.0994698333977,0.0424211700142775,0.1277392552589676,0.1126516464471403,0.0434058753952833,0.022784409921881,0.9136208387646506,True,7,5,8
proposed,52,standard,0.1702772963604852,0.0251464883398686,0.0763281611092769,0.0373283108538521,0.0609322623001011,0.1702772963604852,0.0889351496408969,0.0792982378713076,0.9150368087913908,True,11,11,2
proposed,52,class_weighted,0.1178509532062391,0.0918624872624145,0.1107935457398165,0.0496825508915763,0.1168389988046952,0.1178509532062391,0.0471801160934682,0.0280203028506175,0.9134303730342188,True,7,5,8
fedavg,62,standard,0.1841421143847487,0.045599301673194,0.0931200021923213,0.0498299730983865,0.0834408356928019,0.1841421143847487,0.0889478215117315,0.0941106298586524,0.9152389777128284,True,10,10,3
fedavg,62,class_weighted,0.182842287694974,0.0839496571129808,0.1570116308639259,0.0904966603812632,0.1422509302789329,0.182842287694974,0.1365925523164541,0.0960497013753218,0.9133371364788084,True,7,6,7
fedprox,62,standard,0.1832755632582322,0.0442841171147849,0.092812309884629,0.0489545689210118,0.0820618569257712,0.1832755632582322,0.0877619281634932,0.0932718846830741,0.9152630621905932,True,10,10,3
fedprox,62,class_weighted,0.1832755632582322,0.0863587389632593,0.1581942296395289,0.0921374444261698,0.1448676425092592,0.1832755632582322,0.1377629180670764,0.0965242461015694,0.913401596491691,True,7,6,7
proposed,62,standard,0.181109185441941,0.0441203722767329,0.0939711709736647,0.048879921110476,0.0797646408389293,0.181109185441941,0.0842842035643626,0.0914056851581849,0.915512172035014,True,10,10,3
proposed,62,class_weighted,0.1815424610051993,0.0843925034118634,0.1572600590907805,0.0914034843365051,0.1403994526164818,0.1815424610051993,0.1362478580597756,0.0947664044410042,0.9130916014420024,True,7,6,7

