round,validation_accuracy,validation_macro_f1,clients
1,0.03007518796992481,0.004491858506457046,150
2,0.03007518796992481,0.004491858506457046,150
3,0.030653556969346442,0.005008861920787666,150
4,0.031231925968768073,0.005540594489594105,150
5,0.032388663967611336,0.006566786536801529,150
6,0.03643724696356275,0.009514290154345871,150
7,0.061885482938114515,0.0286400169336237,150
8,0.11798727588201273,0.052473043612489126,150
9,0.156737998843262,0.07313695257011511,150
10,0.15962984384037016,0.07559454433517866,150
