method,seed,accuracy,macro_precision,macro_recall,macro_f1,weighted_precision,weighted_recall,weighted_f1,ece,brier_score,calibration_available
fedavg,42,0.1876083188908145,0.030645449198346,0.0772123537310569,0.0412709236940888,0.0789464189421147,0.1876083188908145,0.1044228425637488,0.0830966901111592,0.9040282944993197,True
fedprox,42,0.1880415944540727,0.0307457878970514,0.0774041818530596,0.0413666792977137,0.0792162247596182,0.1880415944540727,0.1046677082355083,0.0838552418211717,0.9040706915103628,True
proposed,42,0.1967071057192374,0.0293771667769013,0.0755434490696336,0.0422861483027813,0.0761355350169364,0.1967071057192374,0.1097381549577544,0.0803480966717159,0.8985780095696434,True
fedavg,52,0.169844020797227,0.0248688173451062,0.0759980191482337,0.0370467114971654,0.0600223370833305,0.169844020797227,0.0880045446815053,0.0783098645321056,0.9149786339278668,True
fedprox,52,0.1681109185441941,0.0247136834690333,0.0753826345328491,0.0367677845866141,0.0596914699793481,0.1681109185441941,0.0873602219522625,0.0770530319632236,0.9150038483974544,True
proposed,52,0.1685441941074523,0.0246660879253022,0.0753601848794981,0.0367457609456486,0.0595542830345638,0.1685441941074523,0.0873276464694445,0.0775005794106054,0.915047291830502,True
fedavg,62,0.1841421143847487,0.045599301673194,0.0931200021923213,0.0498299730983865,0.0834408356928019,0.1841421143847487,0.0889478215117315,0.0941106298586524,0.9152389777128284,True
fedprox,62,0.1832755632582322,0.0442841171147849,0.092812309884629,0.0489545689210118,0.0820618569257712,0.1832755632582322,0.0877619281634932,0.0932718846830741,0.9152630621905932,True
proposed,62,0.1837088388214904,0.0453043007362811,0.0939112109835301,0.0499847059007132,0.0826100271616349,0.1837088388214904,0.088184367059032,0.0939335478614996,0.9154850415574708,True
