run,component,value_count,value_mean,value_std,value_min,value_p25,value_median,value_p75,value_max
seed_42/full,uncertainty_reduction,19058,0.005746771659896855,0.006643299529545833,0.0,0.001196507103528625,0.00321894024605195,0.00764543338126285,0.0480656286908547
seed_42/full,semantic_specificity,19058,0.9184069682023297,0.2737508742316725,0.0,1.0,1.0,1.0,1.0
seed_42/full,bounded_effort,19058,0.1883395424493651,0.08818933589897154,0.0,0.125,0.25,0.25,0.375
seed_42/full,utility,19058,0.3160633847805204,0.09451405118095231,0.0,0.3263893737112371,0.3502231973034351,0.3521447934092659,0.3939979139903249
seed_52/full,uncertainty_reduction,19112,0.005416403096391336,0.00774631685003352,0.0,0.00056161545106845,0.0021706123006953997,0.00664439219977695,0.0589064861445072
seed_52/full,semantic_specificity,19112,0.9234512348262871,0.26588108355301887,0.0,1.0,1.0,1.0,1.0
seed_52/full,bounded_effort,19112,0.19021426329007954,0.08791295433995483,0.0,0.125,0.25,0.25,0.375
seed_52/full,utility,19112,0.31778642465409773,0.09196477810686343,0.0,0.3259133124340632,0.35,0.3516745455277597,0.4012228984680466
seed_62/full,uncertainty_reduction,19038,0.005600637440219054,0.007612583185185257,0.0,0.00060106828261065,0.00260295519620575,0.007116633932677425,0.064070230000887
seed_62/full,semantic_specificity,19038,0.9177959869734216,0.27468250111775977,0.0,1.0,1.0,1.0,1.0
seed_62/full,bounded_effort,19038,0.1872373673705221,0.08786173229293631,0.0,0.125,0.25,0.25,0.375
seed_62/full,utility,19038,0.3155865882862404,0.09474885926542578,0.0,0.326020522238582,0.35,0.3518555250204104,0.3966446119550424
ALL,uncertainty_reduction,57208,0.005587771043550481,0.0073519222590454885,0.0,0.0007958487293208,0.0026577053628554998,0.00718296708388785,0.064070230000887
ALL,semantic_specificity,57208,0.9198888267375193,0.2714676064819321,0.0,1.0,1.0,1.0,1.0
ALL,bounded_effort,57208,0.1885990595720878,0.08799514693867466,0.0,0.125,0.25,0.25,0.375
ALL,utility,57208,0.3164803454574486,0.09375214670315071,0.0,0.3261029939747811,0.35002908753359535,0.3519007513582244,0.4012228984680466
